STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023234,SAN FRANCISCO INTL AP,2023-05-07,0.00,54,61,48
USW00023234,SAN FRANCISCO INTL AP,2023-05-08,0.00,54,62,47
USW00023234,SAN FRANCISCO INTL AP,2023-05-09,0.00,53,60,47
USW00023234,SAN FRANCISCO INTL AP,2023-05-10,0.00,53,60,47
USW00023234,SAN FRANCISCO INTL AP,2023-05-11,0.00,55,65,46
USW00023234,SAN FRANCISCO INTL AP,2023-05-12,0.00,60,72,48
USW00023234,SAN FRANCISCO INTL AP,2023-05-13,0.00,62,72,52
USW00023234,SAN FRANCISCO INTL AP,2023-05-14,0.00,61,71,52
USW00023234,SAN FRANCISCO INTL AP,2023-05-15,0.00,60,69,52
USW00023234,SAN FRANCISCO INTL AP,2023-05-16,0.00,59,67,52
USW00023234,SAN FRANCISCO INTL AP,2023-05-17,0.00,58,66,51
USW00023234,SAN FRANCISCO INTL AP,2023-05-18,0.00,57,64,51
USW00023234,SAN FRANCISCO INTL AP,2023-05-19,0.00,58,64,52
USW00023234,SAN FRANCISCO INTL AP,2023-05-20,0.00,60,70,51
USW00023234,SAN FRANCISCO INTL AP,2023-05-21,0.00,60,67,53
USW00023234,SAN FRANCISCO INTL AP,2023-05-22,0.00,59,66,52
USW00023234,SAN FRANCISCO INTL AP,2023-05-23,0.00,57,64,51
USW00023234,SAN FRANCISCO INTL AP,2023-05-24,0.00,55,60,50
USW00023234,SAN FRANCISCO INTL AP,2023-05-25,0.00,55,63,48
USW00023234,SAN FRANCISCO INTL AP,2023-05-26,0.00,56,66,47
USW00023234,SAN FRANCISCO INTL AP,2023-05-27,0.00,58,68,49
USW00023234,SAN FRANCISCO INTL AP,2023-05-28,0.00,58,66,50
USW00023234,SAN FRANCISCO INTL AP,2023-05-29,0.00,58,66,50
USW00023234,SAN FRANCISCO INTL AP,2023-05-30,0.00,57,63,51
USW00023234,SAN FRANCISCO INTL AP,2023-05-31,0.00,56,63,49
USW00023234,SAN FRANCISCO INTL AP,2023-06-01,0.00,56,64,49
USW00023234,SAN FRANCISCO INTL AP,2023-06-02,0.00,57,63,52
USW00023234,SAN FRANCISCO INTL AP,2023-06-03,0.00,58,64,52
USW00023234,SAN FRANCISCO INTL AP,2023-06-04,0.00,57,63,52
USW00023234,SAN FRANCISCO INTL AP,2023-06-05,0.05,58,63,53
USW00023234,SAN FRANCISCO INTL AP,2023-06-06,0.00,60,66,55
USW00023234,SAN FRANCISCO INTL AP,2023-06-07,0.01,58,63,53
USW00023234,SAN FRANCISCO INTL AP,2023-06-08,0.00,57,63,52
USW00023234,SAN FRANCISCO INTL AP,2023-06-09,0.00,58,66,51
USW00023234,SAN FRANCISCO INTL AP,2023-06-10,0.00,59,67,51
USW00023234,SAN FRANCISCO INTL AP,2023-06-11,0.00,59,68,51
USW00023234,SAN FRANCISCO INTL AP,2023-06-12,0.00,60,69,52
USW00023234,SAN FRANCISCO INTL AP,2023-06-13,0.00,60,70,51
USW00023234,SAN FRANCISCO INTL AP,2023-06-14,0.00,60,72,48
USW00023234,SAN FRANCISCO INTL AP,2023-06-15,0.00,60,71,50
USW00023234,SAN FRANCISCO INTL AP,2023-06-16,0.00,60,71,50
USW00023234,SAN FRANCISCO INTL AP,2023-06-17,0.00,60,71,49
USW00023234,SAN FRANCISCO INTL AP,2023-06-18,0.00,58,66,51
USW00023234,SAN FRANCISCO INTL AP,2023-06-19,0.00,58,65,51
USW00023234,SAN FRANCISCO INTL AP,2023-06-20,0.00,58,65,51
USW00023234,SAN FRANCISCO INTL AP,2023-06-21,0.00,58,66,51
USW00023234,SAN FRANCISCO INTL AP,2023-06-22,0.00,59,66,52
USW00023234,SAN FRANCISCO INTL AP,2023-06-23,0.00,59,68,51
USW00023234,SAN FRANCISCO INTL AP,2023-06-24,0.00,60,71,50
USW00023234,SAN FRANCISCO INTL AP,2023-06-25,0.00,61,72,50
USW00023234,SAN FRANCISCO INTL AP,2023-06-26,0.00,61,69,53
USW00023234,SAN FRANCISCO INTL AP,2023-06-27,0.00,61,69,53
USW00023234,SAN FRANCISCO INTL AP,2023-06-28,0.00,61,70,53
USW00023234,SAN FRANCISCO INTL AP,2023-06-29,0.00,63,73,53
USW00023234,SAN FRANCISCO INTL AP,2023-06-30,0.00,65,77,54
